max_r2,num_features,params
-0.018576454720408274,2,"[50, 'mse', 2, 1, 2, 'sqrt']"
-0.07620420050914276,2,"[50, 'mse', 2, 1, 2, 'auto']"
-0.013018069872660765,55,"[50, 'mse', 2, 2, 2, 'sqrt']"
-0.08335386835420072,2,"[50, 'mse', 2, 2, 2, 'auto']"
0.0009329611348650735,52,"[50, 'mse', 2, 3, 2, 'sqrt']"
-0.03757910242133532,44,"[50, 'mse', 2, 3, 2, 'auto']"
-0.03491780137158296,61,"[50, 'mse', 3, 1, 2, 'sqrt']"
-0.1452583559860646,23,"[50, 'mse', 3, 1, 2, 'auto']"
-0.01837473374416323,61,"[50, 'mse', 3, 2, 2, 'sqrt']"
-0.11760130413991103,44,"[50, 'mse', 3, 2, 2, 'auto']"
-0.0013239439303895707,24,"[50, 'mse', 3, 3, 2, 'sqrt']"
-0.06515276770152742,44,"[50, 'mse', 3, 3, 2, 'auto']"
-0.02602738072991225,43,"[50, 'mse', 5, 1, 2, 'sqrt']"
-0.1436231012063763,35,"[50, 'mse', 5, 1, 2, 'auto']"
-0.007956045502485798,35,"[50, 'mse', 5, 2, 2, 'sqrt']"
-0.10998438366687327,45,"[50, 'mse', 5, 2, 2, 'auto']"
0.01599670298957586,61,"[50, 'mse', 5, 3, 2, 'sqrt']"
-0.055982532742061365,45,"[50, 'mse', 5, 3, 2, 'auto']"
-0.033333215091437406,39,"[50, 'mse', 15, 1, 2, 'sqrt']"
-0.1639648387097373,56,"[50, 'mse', 15, 1, 2, 'auto']"
-0.018881068302873817,55,"[50, 'mse', 15, 2, 2, 'sqrt']"
-0.13219639997592983,45,"[50, 'mse', 15, 2, 2, 'auto']"
-0.004198793046396332,34,"[50, 'mse', 15, 3, 2, 'sqrt']"
-0.06324661193553187,47,"[50, 'mse', 15, 3, 2, 'auto']"
-0.03286613835146991,2,"[100, 'mse', 2, 1, 2, 'sqrt']"
-0.06371734204833047,2,"[100, 'mse', 2, 1, 2, 'auto']"
-0.021194227640267183,34,"[100, 'mse', 2, 2, 2, 'sqrt']"
-0.08059805522987995,2,"[100, 'mse', 2, 2, 2, 'auto']"
-0.007906201733147133,42,"[100, 'mse', 2, 3, 2, 'sqrt']"
-0.05408609069174173,44,"[100, 'mse', 2, 3, 2, 'auto']"
-0.03190195860933233,61,"[100, 'mse', 3, 1, 2, 'sqrt']"
-0.12515316284168942,2,"[100, 'mse', 3, 1, 2, 'auto']"
-0.018432556311674075,42,"[100, 'mse', 3, 2, 2, 'sqrt']"
-0.11133555450394159,44,"[100, 'mse', 3, 2, 2, 'auto']"
0.0007669427742230228,55,"[100, 'mse', 3, 3, 2, 'sqrt']"
-0.07070549485237075,44,"[100, 'mse', 3, 3, 2, 'auto']"
-0.017957667598579863,31,"[100, 'mse', 5, 1, 2, 'sqrt']"
-0.1558871135392149,45,"[100, 'mse', 5, 1, 2, 'auto']"
-0.014023041697461913,40,"[100, 'mse', 5, 2, 2, 'sqrt']"
-0.10711136857311927,45,"[100, 'mse', 5, 2, 2, 'auto']"
0.01884061471663533,63,"[100, 'mse', 5, 3, 2, 'sqrt']"
-0.07057806989276634,43,"[100, 'mse', 5, 3, 2, 'auto']"
-0.01053468062339651,64,"[100, 'mse', 15, 1, 2, 'sqrt']"
-0.16041882047480555,47,"[100, 'mse', 15, 1, 2, 'auto']"
-0.00395443393090904,40,"[100, 'mse', 15, 2, 2, 'sqrt']"
-0.11621338085391508,45,"[100, 'mse', 15, 2, 2, 'auto']"
0.005788739185714454,45,"[100, 'mse', 15, 3, 2, 'sqrt']"
-0.07590574164590211,47,"[100, 'mse', 15, 3, 2, 'auto']"
-0.03677313796356213,3,"[150, 'mse', 2, 1, 2, 'sqrt']"
-0.07170473051133355,2,"[150, 'mse', 2, 1, 2, 'auto']"
-0.023393911186097172,42,"[150, 'mse', 2, 2, 2, 'sqrt']"
-0.08126001309096938,2,"[150, 'mse', 2, 2, 2, 'auto']"
-0.0063726878574405735,42,"[150, 'mse', 2, 3, 2, 'sqrt']"
-0.06633247752750875,44,"[150, 'mse', 2, 3, 2, 'auto']"
-0.04174061891904636,61,"[150, 'mse', 3, 1, 2, 'sqrt']"
-0.135177913481124,2,"[150, 'mse', 3, 1, 2, 'auto']"
-0.018553639291808467,61,"[150, 'mse', 3, 2, 2, 'sqrt']"
-0.11789239364260466,44,"[150, 'mse', 3, 2, 2, 'auto']"
-0.0024241040225198573,42,"[150, 'mse', 3, 3, 2, 'sqrt']"
-0.07622317899588088,44,"[150, 'mse', 3, 3, 2, 'auto']"
-0.0279388122816416,61,"[150, 'mse', 5, 1, 2, 'sqrt']"
-0.17200116956034384,45,"[150, 'mse', 5, 1, 2, 'auto']"
-0.02444934113960522,36,"[150, 'mse', 5, 2, 2, 'sqrt']"
-0.11256804361283564,45,"[150, 'mse', 5, 2, 2, 'auto']"
0.008105156559421112,63,"[150, 'mse', 5, 3, 2, 'sqrt']"
-0.07249446005336443,44,"[150, 'mse', 5, 3, 2, 'auto']"
-0.022552557719284883,64,"[150, 'mse', 15, 1, 2, 'sqrt']"
-0.1778644858533705,45,"[150, 'mse', 15, 1, 2, 'auto']"
-0.009114094050745813,61,"[150, 'mse', 15, 2, 2, 'sqrt']"
-0.1212637714135973,45,"[150, 'mse', 15, 2, 2, 'auto']"
0.005574555018858151,65,"[150, 'mse', 15, 3, 2, 'sqrt']"
-0.08075328192674848,44,"[150, 'mse', 15, 3, 2, 'auto']"
-0.03369560234241302,3,"[200, 'mse', 2, 1, 2, 'sqrt']"
-0.07342283134310006,2,"[200, 'mse', 2, 1, 2, 'auto']"
-0.023091420571454125,42,"[200, 'mse', 2, 2, 2, 'sqrt']"
-0.08427234599586944,2,"[200, 'mse', 2, 2, 2, 'auto']"
-0.009059985691924066,42,"[200, 'mse', 2, 3, 2, 'sqrt']"
-0.06001053613850808,44,"[200, 'mse', 2, 3, 2, 'auto']"
-0.0393467682399441,32,"[200, 'mse', 3, 1, 2, 'sqrt']"
-0.13347792643292325,2,"[200, 'mse', 3, 1, 2, 'auto']"
-0.016762650935864896,42,"[200, 'mse', 3, 2, 2, 'sqrt']"
-0.09917181388178117,44,"[200, 'mse', 3, 2, 2, 'auto']"
5.280614017946217e-05,55,"[200, 'mse', 3, 3, 2, 'sqrt']"
-0.06804642969914845,44,"[200, 'mse', 3, 3, 2, 'auto']"
-0.029047908056833115,61,"[200, 'mse', 5, 1, 2, 'sqrt']"
-0.14896888284195892,44,"[200, 'mse', 5, 1, 2, 'auto']"
-0.014512134695990154,60,"[200, 'mse', 5, 2, 2, 'sqrt']"
-0.09210491988082024,45,"[200, 'mse', 5, 2, 2, 'auto']"
0.003144934978558078,63,"[200, 'mse', 5, 3, 2, 'sqrt']"
-0.06569990773215391,44,"[200, 'mse', 5, 3, 2, 'auto']"
-0.033251189200940834,64,"[200, 'mse', 15, 1, 2, 'sqrt']"
-0.1506758835721252,45,"[200, 'mse', 15, 1, 2, 'auto']"
-0.015555952974693466,61,"[200, 'mse', 15, 2, 2, 'sqrt']"
-0.09909285502418214,45,"[200, 'mse', 15, 2, 2, 'auto']"
0.001432371607578442,45,"[200, 'mse', 15, 3, 2, 'sqrt']"
-0.07359903591463582,44,"[200, 'mse', 15, 3, 2, 'auto']"
